origen;url;titulo;precio;moneda;marca;modelo;hp_motor;anio;formas_pago;ubicacion;condicion;descripcion;precio_nor
Rastroagro;https://rastroagro.com/tractores/agco-allis-6110-2008-pub-24-09-09-16-21-25;Tractor Agco Allis 6.110;U$S 46.350 + IVA;USD;Agco Allis;6110;110.0;2008.0;Anticipo 50 % + saldo a convenír | Córdoba | Medios de pago | Financiamiento;Córdoba;Nuevo;Tractor Agco Allis 6.110 Productos similares ‹ › U$S 100.940 + IVA Tractor Valtra BT170 2014 Córdoba ‹ › U$S 99.910 + IVA Tractor Pauny EVO 280 A 2023 Buenos Aires ‹ › U$S 72.100 Tractor Case MXM 165 2007 Córdoba : INMEDIATA ‹ › U$S 36.050 + IVA Tractor Zanello 4200 1985 Buenos Aires ‹ › U$S 87.550 + IVA -10% DE CONTADO Tractor Case Maxxum 165 2012 La Pampa : O KM ‹ › Consultar Tractor Massey Ferguson 6711 2026 Buenos Aires ‹ › U$S 70.040 + IVA Tractor Pauny 280 A 2012 Buenos Aires ‹ › U$S 51.500 Tractor Zanello 450 1990 Buenos Aires ‹ › U$S 86.520 + IVA Tractor Pauny 280 A 2019 Buenos Aires U$S 37.100 + IVA -15% DE CONTADO Tractor Massey Ferguson 1195 L No especifica Córdoba Productos similares;46350.0
Rastroagro;https://rastroagro.com/tractores/agco-allis-6150-2011-pub-24-09-09-16-01-11;Tractor Agco Allis 6.150;U$S 87.550 + IVA;USD;Agco Allis;6150;150.0;2011.0;Anticipo 50 % + saldo a convenír | Córdoba | Medios de pago | Financiamiento;Córdoba;Nuevo;Tractor Agco Allis 6.150 Productos similares : O KM ‹ › Consultar Tractor Valtra A 990 2026 Córdoba : O KM ‹ › Consultar Tractor Valtra A 124 2026 Córdoba ‹ › Consultar Tractor Pauny EVO 250 A 2016 Buenos Aires ‹ › U$S 48.410 + IVA Tractor Pauny 250 P 2006 Santa Fe ‹ › Consultar Tractor Valtra BH 160 2008 Buenos Aires : O KM ‹ › Consultar Tractor Massey Ferguson 7350 2026 Buenos Aires : 5 DIAS ‹ › Consultar -8% DE CONTADO Tractor Agco Allis 6.110 #3229 2012 Buenos Aires ‹ › U$S 18.540 + IVA -5% DE CONTADO Tractor Massey Ferguson 1095 1976 La Pampa ‹ › Consultar Tractor Massey Ferguson 296 1995 Buenos Aires : O KM ‹ › Consultar Tractor Massey Ferguson 7350 2026 Córdoba Productos similares;87550.0
Rastroagro;https://rastroagro.com/tractores/zanello-500-c-2003-pub-24-09-09-16-17-57;Tractor Zanello 500 C;U$S 70.040 + IVA;USD;Zanello 500;C;200.0;2003.0;Anticipo 50 % + saldo a convenír | Córdoba | Medios de pago | Financiamiento;Córdoba;Nuevo;Tractor Zanello 500 C Productos similares : O KM ‹ › Consultar Tractor Pauny Novo 500 2026 Buenos Aires : O KM ‹ › Consultar -7% DE CONTADO Tractor Pauny EVO 540 C 2026 Buenos Aires : O KM ‹ › Consultar Tractor Massey Ferguson 8732 S 2026 Buenos Aires ‹ › U$S 196.267 + IVA -5% DE CONTADO Tractor Massey Ferguson 7415 2016 La Pampa ‹ › U$S 139.050 Tractor Pauny 540 C 2021 Santa Fe : O KM Consultar Tractor Valtra T 210 2026 Buenos Aires ‹ › U$S 242.050 + IVA -5% DE CONTADO Tractor Case Magnum 260 2017 Buenos Aires ‹ › U$S 226.600 + IVA Tractor Case Magnum 305 2010 Santa Fe : O KM ‹ › U$S 146.772 IVA incluido Tractor Zanello 2240 2026 Córdoba ‹ › Consultar Tractor Zanello 540 C 1998 Buenos Aires Productos similares;70040.0
Rastroagro;https://rastroagro.com/tractores/massey-ferguson-7370-2021-pub-24-09-09-15-36-15;Tractor Massey Ferguson 7370;U$S 185.400 + IVA;USD;Massey Ferguson;7370;180.0;2021.0;Anticipo 50 % + saldo a convenír | Córdoba | Medios de pago | Financiamiento;Córdoba;Nuevo;Tractor Massey Ferguson 7370 Productos similares ‹ › Consultar Tractor New Holland TD5 2015 Buenos Aires : O KM ‹ › Consultar -5% DE CONTADO Tractor Case 130A 2026 Buenos Aires ‹ › Consultar Tractor Pauny 280 A 2009 Chaco ‹ › Consultar Tractor Case Farmall 130 A 2017 Santa Fe ‹ › U$S 99.910 + IVA Tractor Pauny EVO 280 A 2023 Buenos Aires ‹ › U$S 79.310 + IVA -10% DE CONTADO Tractor Massey Ferguson 680 ADV 2008 Buenos Aires ‹ › Consultar Tractor Zanello 500 C No especifica Buenos Aires : O KM ‹ › Consultar -7% DE CONTADO Tractor Pauny P-Trac 180 2026 Buenos Aires : O KM ‹ › Consultar -10% DE CONTADO Tractor Chery WD1604E 2026 Buenos Aires ‹ › U$S 70.040 + IVA Tractor Pauny 280 A 2012 Buenos Aires Productos similares;185400.0
Rastroagro;https://rastroagro.com/tractores/pauny-500-c-2007-pub-24-08-28-16-08-24;Tractor Pauny 500 C;U$S 61.800 + IVA;USD;Pauny 500;C;200.0;2007.0;Anticipo 40 % + saldo a convenír | Córdoba | Medios de pago | Financiamiento;Córdoba;Nuevo;Tractor Pauny 500 C Productos similares ‹ › U$S 139.050 + IVA Tractor New Holland T7.240 2016 Buenos Aires ‹ › U$S 139.050 Tractor Pauny 540 C 2021 Santa Fe ‹ › U$S 133.900 + IVA Tractor Pauny EVO 540 C 2021 Buenos Aires ‹ › U$S 51.500 + IVA -5% DE CONTADO Tractor Zanello 500 C 1996 La Pampa : O KM Consultar Tractor Valtra T 230 2026 Buenos Aires : O KM Consultar Tractor Valtra BH224 2026 Buenos Aires ‹ › U$S 64.890 + IVA Tractor Zanello 540 C 1998 Buenos Aires ‹ › U$S 196.267 + IVA -5% DE CONTADO Tractor Massey Ferguson 7415 2016 La Pampa ‹ › U$S 144.200 + IVA -5% DE CONTADO Tractor Case 270 2009 Buenos Aires ‹ › U$S 94.760 + IVA Tractor Valtra 220 2017 Chaco Productos similares;61800.0
Rastroagro;https://rastroagro.com/tractores/deutz-a85-74-pub-24-08-23-09-41-30;Tractor Deutz A85;$15.965.000,00;ARS;Deutz;A85;85.0;1974.0;;Buenos Aires;Nuevo;Tractor Deutz A85 / motor 2114 con dirección hidráulica y doble comando / caja de 5ta alta y baja Productos similares ‹ › U$S 69.937 + IVA -5% DE CONTADO Tractor Case Farmall 100 JX 2013 Buenos Aires ‹ › Consultar -8% DE CONTADO Tractor Massey Ferguson 1185 #6174 1989 Buenos Aires : O KM ‹ › U$S 38.522 -8% DE CONTADO Tractor Chery RK 904 2026 Buenos Aires : O KM ‹ › Consultar -5% DE CONTADO Tractor Case Farmall 90 JXM 2026 Buenos Aires : INMEDIATA ‹ › Consultar -8% DE CONTADO Tractor Deutz A85 #7255 No especifica Buenos Aires : O KM U$S 32.860 + IVA -15% DE CONTADO Tractor Chery 704F 2026 Córdoba ‹ › U$S 17.510 + IVA Tractor Massey Ferguson 1175 1973 Buenos Aires ‹ › Consultar Tractor Pauny 180 A 2016 La Pampa ‹ › U$S 25.440 + IVA Tractor Massey Ferguson 290 No especifica Buenos Aires U$S 7.420 + IVA -15% DE CONTADO Tractor John Deere 730 No especifica Córdoba Productos similares;10643.333333333334
Rastroagro;https://rastroagro.com/tractores/agco-allis-6175-2004-pub-24-08-23-10-40-00;Tractor Agco Allis 6.175;Consultar;;Agco Allis;6175;175.0;2004.0;Anticipo 30 % + saldo a convenír | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;Tractor Agco Allis 6.175 Productos similares ‹ › Consultar Tractor Massey Ferguson 630 2006 Buenos Aires : O KM ‹ › U$S 164.800 + IVA Tractor Massey Ferguson 7350 No especifica Buenos Aires ‹ › U$S 99.910 + IVA -10% DE CONTADO Tractor Massey Ferguson 6480 2007 Buenos Aires ‹ › U$S 66.950 + IVA Tractor Pauny EVO 280 A 2016 Santa Fe ‹ › U$S 86.520 + IVA Tractor Pauny 280 A 2019 Buenos Aires ‹ › U$S 83.430 Tractor Case MxM 180 2004 Santa Fe ‹ › Consultar Tractor Case MXM 180 2008 Santa Fe ‹ › U$S 74.160 + IVA -10% DE CONTADO Tractor Pauny 280 A 2006 Buenos Aires ‹ › U$S 42.230 + IVA Tractor Valmet 1380 S 2001 Buenos Aires : O KM Consultar Tractor Pauny P-Trac 180 2026 Buenos Aires Productos similares;
Rastroagro;https://rastroagro.com/tractores/massey-ferguson-6711-0-pub-24-08-20-11-37-34;Tractor Massey Ferguson 6711;Consultar;;Massey Ferguson;6711;115.0;2026.0;Anticipo 30 % + saldo a convenír | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;Versión preparada para pala frontal con Joystick. Productos similares : O KM Consultar -10% DE CONTADO Tractor Case Puma 200 2026 Buenos Aires : O KM Consultar Tractor Valtra BT 170 2026 Buenos Aires ‹ › U$S 46.350 + IVA Tractor Deutz Fahr 4.125 1997 Buenos Aires ‹ › U$S 70.040 + IVA Tractor Pauny 280 A 2012 Buenos Aires : INMEDIATA ‹ › Consultar -8% DE CONTADO Tractor Deutz 5.190 2026 Buenos Aires ‹ › Consultar Tractor Agrinar T150-4 2007 Buenos Aires ‹ › Consultar Tractor Valtra BH 160 2008 Buenos Aires : O KM ‹ › Consultar Tractor Valtra A 990 2026 Córdoba ‹ › U$S 25.750 Tractor Zetor 16045 1991 Santa Fe ‹ › U$S 103.000 + IVA Tractor New Holland T7.195 2017 Santa Fe Productos similares;
Rastroagro;https://rastroagro.com/tractores/fahr-86-1-pub-24-09-18-13-58-17;Tractor Fahr 86;Consultar;;Fahr;86;105.0;;Anticipo 40 % + saldo a convenír | 12 cheques (cuotas mensuales) | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;Tractor Fahr 86 con pala Minari Productos similares ‹ › U$S 146.260 Tractor Valtra BT170 2014 Córdoba ‹ › U$S 51.500 + IVA Tractor Deutz Fahr AX 4.170 1999 Buenos Aires ‹ › U$S 39.140 + IVA -5% DE CONTADO Tractor Zanello 460 1993 Buenos Aires ‹ › U$S 103.000 + IVA Tractor New Holland T7.195 2017 Santa Fe : O KM ‹ › U$S 119.569 + IVA Tractor Massey Ferguson 6712 2026 Buenos Aires ‹ › U$S 82.915 + IVA Tractor John Deere 4455 1996 Córdoba ‹ › Consultar Tractor Pauny EVO 280 A 2017 Córdoba ‹ › U$S 51.500 + IVA Tractor Case Farmall 110 A No especifica Santa Fe : O KM ‹ › U$S 305.837 + IVA Tractor Massey Ferguson 7726 2026 Buenos Aires ‹ › U$S 76.220 + IVA -10% DE CONTADO Tractor John Deere 4760 1993 La Pampa Productos similares;
Rastroagro;https://rastroagro.com/tractores/pauny-230cc-2012-pub-24-09-04-17-11-00;Tractor Pauny 230CC;U$S 47.380 + IVA;USD;Pauny;230CC;120.0;2012.0;Anticipo 40 % + saldo a convenír | Córdoba | Medios de pago | Financiamiento;Córdoba;Nuevo;Productos similares ‹ › Consultar Tractor Zanello 460 C 2005 Buenos Aires ‹ › U$S 77.250 Tractor Pauny 540 C 2006 Buenos Aires : O KM Consultar -10% DE CONTADO Tractor Case Puma 200 2026 Buenos Aires ‹ › U$S 53.560 + IVA Tractor Fiat 1880 1986 Buenos Aires ‹ › U$S 61.800 + IVA Tractor John Deere 6615 S 2011 Buenos Aires : O KM ‹ › Consultar Tractor Chery RS 1804 2026 Santa Fe ‹ › U$S 26.780 + IVA Tractor John Deere 3530 No especifica Córdoba : O KM ‹ › Consultar Tractor Massey Ferguson 7350 2026 Córdoba ‹ › U$S 51.500 + IVA Tractor Valmet 1780 1996 Córdoba ‹ › U$S 76.220 Tractor Pauny EVO 280 A 2017 Santa Fe Productos similares;47380.0
Rastroagro;https://rastroagro.com/tractores/massey-ferguson-3308-xtra-0-pub-24-08-20-11-26-28;Tractor Massey Ferguson 3308 xtra;Consultar;;Massey Ferguson 3308;xtra;92.0;2026.0;Anticipo 30 % + saldo a convenír | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;Tractor Massey Ferguson 3308 xtra Productos similares : O KM ‹ › U$S 35.089 IVA incluido Tractor Bronco 804 2026 Buenos Aires : O KM Consultar Tractor Hanomag 800/4 2026 Buenos Aires ‹ › U$S 14.420 + IVA Tractor Massey Ferguson 1175 1979 Santa Fe ‹ › U$S 14.420 + IVA Tractor John Deere 2420 1980 Córdoba ‹ › U$S 25.440 + IVA Tractor Massey Ferguson 290 No especifica Buenos Aires ‹ › Consultar Tractor Deutz Fahr AX 80 1988 Buenos Aires ‹ › Consultar Tractor Massey Ferguson 1098 1994 Córdoba ‹ › Consultar Tractor Universal R533 No especifica Buenos Aires : O KM ‹ › Consultar Tractor Massey Ferguson 3308 xtra 2026 Buenos Aires ‹ › Consultar Tractor John Deere 730 No especifica Córdoba Productos similares;
Rastroagro;https://rastroagro.com/tractores/massey-ferguson-7726-0-pub-24-08-20-11-16-45;Tractor Massey Ferguson 7726;Consultar;;Massey Ferguson;7726;260.0;2026.0;Anticipo 30 % + saldo a convenír | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;Tractor Massey Ferguson 7726 Productos similares ‹ › U$S 196.267 + IVA -5% DE CONTADO Tractor Massey Ferguson 7415 2016 La Pampa ‹ › U$S 139.050 + IVA Tractor New Holland T7.240 2016 Buenos Aires ‹ › U$S 169.950 + IVA -10% DE CONTADO Tractor Case Magnum 270 2008 La Pampa ‹ › U$S 83.945 + IVA -5% DE CONTADO Tractor Pauny Audaz 2200 A 2019 Buenos Aires : O KM ‹ › Consultar -7% DE CONTADO Tractor Pauny EVO 500 C con hoja topadora 2026 Buenos Aires ‹ › U$S 154.500 + IVA -10% DE CONTADO Tractor Pauny 580 Novo 2016 La Pampa ‹ › U$S 80.340 + IVA Tractor Pauny 500 C 2006 Buenos Aires ‹ › U$S 133.900 + IVA Tractor Pauny EVO 540 C 2021 Buenos Aires ‹ › Consultar Tractor Zanello 500C 2004 Buenos Aires ‹ › U$S 144.200 + IVA Tractor Case Magnum 240 2007 Santa Fe Productos similares;
Rastroagro;https://rastroagro.com/tractores/massey-ferguson-7370-0-pub-24-08-20-11-11-29;Tractor Massey Ferguson 7370;Consultar;;Massey Ferguson;7370;180.0;2026.0;Anticipo 30 % + saldo a convenír | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;Tractor Massey Ferguson 7370 Productos similares : O KM ‹ › Consultar -5% DE CONTADO Tractor Case Puma 190 2026 Buenos Aires ‹ › U$S 97.850 Tractor Case MXM 165 No especifica Santa Fe : O KM ‹ › Consultar Tractor Valtra BH154 2026 Córdoba ‹ › Consultar Tractor Massey Ferguson 630 2006 Buenos Aires ‹ › U$S 36.050 + IVA Tractor Fiat 980-DT No especifica Buenos Aires : O KM ‹ › Consultar -7% DE CONTADO Tractor Pauny EVO 250 A 2026 Buenos Aires ‹ › U$S 92.700 + IVA -5% DE CONTADO Tractor Massey Ferguson 6480 2008 Buenos Aires ‹ › U$S 50.470 + IVA -5% DE CONTADO Tractor Pauny 210 2016 La Pampa ‹ › U$S 51.500 + IVA Tractor Valtra BH145 2008 Córdoba ‹ › U$S 77.250 + IVA Tractor New Holland TD 5.110 2016 Córdoba Productos similares;
